,Legislator name,Legislative Effectiveness Score,party,Name,name,speech
98,Doug Collins,1.31859290599823,R,collins,collins," Mr. COLLINS of New York. Madam Speaker, today I rise to commemorate  the 100th anniversary of Boy Scout Troop 578, one of the oldest troops  in our Nation.  Troop 578 was chartered on September 11, 1919, by the First Church of  Evans in Derby, New York. Historically, they were known as Troop 78,  and, unlike any other Boy Scout troop in America, they remained active  during World War II. During that war, these Scouts were official  dispatch bearers, and they collected recycled metals and other goods to  support the war effort.  In the 1950s, redistricting changes required the troop to add a  number 5 to the 78, making them Troop 578, as they are known today.  As an Eagle Scout myself, I am proud to honor Troop 578 as they  continue to be an important part of the western New York community and  Scouting history. I wish Troop 578 many more active years of Scouting. [[', Page , H7587, ]      "
99,James Comer,0.2670707404613495,R,comer,comer," Mr. COMER. Mr. Speaker, I rise to talk about the ongoing  investigation within the House Committee on Oversight and Reform among  oversight Republicans.  The minority--the Republicans--have requested several hearings, but  unfortunately, Chairwoman Maloney and the majority House Democrats are  uninterested or unwilling to comply. So we have taken it upon ourselves  to inquire and pretty much open up investigations with our staff, with  our investigators, and have taken data from our whistleblowers and  different stakeholders with each investigation.  We currently have caught a situation before the election, in  California, where--with the CARES Act--there was a part called the Help  America Vote Act that allocated funds for different States to educate  voters on how to vote. In other words, to educate voters on where their  precincts are and how to fill out an absentee ballot--things that are  perfectly legal and things that the Federal Government should fund, and  the State government should administer.  Mr. Speaker, within the rules--something that a lot of times my  friends on the other side of the aisle don't think apply to  themselves--but in the rules of the Help America Vote Act, it  specifically says what those Federal funds can and cannot be used for.  One of the things that it specifically says the Federal funds cannot be  used for is to get out the vote efforts.  But in California, which was awarded $35 million in the CARES Act of  Help America Vote Act funds, their Secretary of State Padilla took the  $35 million. The normal process would be to advertise bids for a  contract, but Secretary Padilla did what a lot of Democrat secretaries  of state--and unfortunately, some Republican secretaries of state did-- they said, Oh, there is a pandemic. We can't do this the normal way. We  have to do it a special way.  So he awarded this contract with no bid. There were plenty of vendors  that were interested in bidding on that contract but he awarded it to  one. And in the Help America Vote Act it specifically says that vendors  can't be partisan. That is common sense, right?  This contract that he awarded, a $35 million of our Federal taxpayer  funds in a no-bid process, the firm that received that contract was  called SKDKnickerbocker. I invite you right now to get your phone out  and put in ``SKDKnickerbocker,'' and look at their website.  It will pop up, and what you will see is a picture of Joe Biden and  Kamala Harris shaking hands. And it proudly says--on the very top of  the website--``We want to congratulate our clients, Joe Biden and  Kamala Harris, for changing America, and for winning.'' So this firm,  SKDKnickerbocker was clearly a partisan firm. This firm represented the  Biden campaign.  Now, my question to anyone interested in this--and I think most  taxpayers would be interested in this--obviously, the House Democrats  on the [["", Page , H6887, ] Committee on Oversight and Reform are uninterested in this, but if the  secretary of state awards a no-bid contract to a Joe Biden partisan  firm to get out to vote, do you really think they are going to target  Republican voters, or do you think they are going to target Democrat  voters? That is illegal.  Mr. Speaker, we have sent letters to Secretary Padilla asking him  what his intentions were and why he did not follow the law on this  contract. He has not replied. I have made this public. I went on the  Tucker Carlson Show a few months ago and brought this to the Nation's  attention. As a result of this, and our messaging and our inquiries,  the media in California has been writing about this.  The Sacramento Bee wrote just this past week that the California  comptroller has refused to pay the $35 million bill to SKDKnickerbocker  because they know there is a problem with this no-bid contract awarded  to a partisan firm that was Joe Biden's main digital firm to  microtarget certain voters in California.  Mr. Speaker, what I am asking for now is for the comptroller of  California to just go ahead and do the right thing and send that $35  million back to the Treasury. We don't want taxpayer dollars being  spent on improper, illegal, unethical, and partisan instances. And that  is what happened in California.  Now, another reason this isn't going to go away--I am not an expert  on California politics--but while I was waiting for my time to speak, I  read several things that said Secretary of State Padilla is the  frontrunner to fill Kamala Harris' seat for the U.S. Senate. I strongly  encourage the secretary of state to answer House Republicans' inquiries  on this issue, because if he doesn't answer it now and he does, in  fact, get confirmed to the U.S. Senate, he is probably going to have to  answer it in front of the Senate Committee on Ethics.  Now, one thing that I pledged to do when I became ranking member of  the House Committee on Oversight and Reform is, we weren't just going  to identify problems. We were going to try to represent the taxpayers,  and we weren't just going to identify instances of waste, fraud and  abuse, like this $35 million no-bid contract in California. We were  going to try to claw back that money--get the money back. It seems like  forever in Congress, Members of Congress do the right thing and they  identify wrongful spending, but nothing ever happens. No one is ever  held accountable. Certainly, the taxpayers never get their money back.  This is an instance we are not going to let up.  Mr. Speaker, we are operating in a huge deficit. We have to be  accountable for the taxpayers. That is the job of this Congress. The  Committee on Oversight and Reform is serious. The Republicans on the  Committee on Oversight and Reform are going in a new direction. Not  only are we going to identify problems, but we are going to try to  solve problems because we are going to get the backs of the American  taxpayer.  And I think I have clearly spelled out the problems with this  contract. And I believe that the fact that the comptroller in  California isn't willing to write that check for the bill, that proves  that there was a problem there. If anything I have said today is  incorrect, then I welcome Secretary Padilla to answer our inquiry. And  if anything I have said that was not right, I will apologize to the  secretary of state for that. But clearly, sitting there not responding,  is not helping the situation and, again, it is not going to go away.  Mr. Speaker, now another thing with this contract, I have spelled out  the problem that the State of California, the secretary of state has  with this $35 million no-bid contract. The next part of the problem  with this particular investigation is our committee has sent numerous  letters to a government agency that a lot of people probably never  heard of, called the Election Assistance Commission.  The Election Assistance Commission is a government agency,  bureaucracy, entity--whatever you want to call it--that is supposed to  be the watchdog for Federal funding pertaining to elections. They have  an inspector general. I have written--and on those letters, they were  signed by my colleague on the Committee on Oversight and Reform, Jody  Hice of Georgia, and the ranking member of the House Administration  Committee, Rodney Davis of Illinois--we have jointly written letters to  the Inspector General of the Election Assistance Commission for the  Inspector General to investigate this $35 million contract. We wrote  these letters weeks in advance of the November elections. And we have  gotten back form letters, kind of like form letters that we send out to  people that call our office every day and ask for things that we are  probably not going to be able to do. We always reply with nice form  letters. That is what the ranking members of the House Committee on  Oversight and Reform and the House Administration Committee got.  If the Election Assistance Commission can't investigate this one  thing in this election--and I am not even going to get into a debate  today about whether there were irregularities or not. That is not what  I am discussing today. I am discussing a specific irregularity that  involved taxpayer dollars.  {time} 1615  If the Election Assistance Commission inspector general cannot  investigate that and come up with an answer and say, ``Okay, the  Secretary the State was right,'' or, ``Okay, you were right, and the  money should be returned,'' if they can't get us an answer on that,  then the next step we are going to suggest, as Republican members of  the Committee on Oversight and Reform, will be to eliminate the  Election Assistance Commission.  If you can't take an inquiry from Congress and investigate it,  especially when the media in California--not exactly a bastion of  Republican support--when they are calling the Secretary of State out on  this contract, then I think we have a problem with this government  agency.  Government is too big. I have been in Washington 4 years now. There  are a lot of buildings in this city with a lot of government employees,  a lot of government programs. Honestly, in my opinion, we don't have  the ability to continue to fund all of these government programs, all  of these government agencies, and all of these government employees. If  we can find government agencies that refuse to do their jobs, then we  should eliminate those government agencies.  So, my remarks today are specifically about the contract in  California with the Secretary of State, the contract for the Help  America Vote Act, which was in the CARES Act, which was a no-bid  contract to a partisan firm to do illegal things, like microtarget  voters. That is my first complaint, the $35 million.  My second complaint is the Election Assistance Commission. With the  one request that we made, I have been very unimpressed, disappointed,  shocked, to the point now I am angered. Now, as a taxpayer and someone  who wants to get the back of the taxpayer, I think it is time to look  at this agency and say: Is this something that we need moving forward?  Mr. Speaker, I am going to conclude my remarks, again, with reference  to the Committee on Oversight and Reform. As a member of the committee  for the past 4 years, I have heard a lot of Democrats complain about  the 2016 election, imply that there were irregularities in the  election. I have heard my friend Debbie Wasserman Schultz complain,  probably rightfully so, about the emails being hacked at the Democratic  National Committee. We have had discussions about that.  I know that when Elijah Cummings became chairman of the committee,  the first witness he had was Michael Cohen to talk about irregularities  in the 2016 election that he saw from the Trump campaign and things  like that. We had those committee hearings, and we have had a lot of  those committee hearings.  Here we are today, several weeks after the Presidential election.  Regardless of your opinion of the election, regardless of your opinion  of the rightful winner, regardless of your opinion of whether there  were major irregularities or not, there are a lot of Americans who have  a lot of questions about the election process.  There were a lot of things in this election that were unique, not  just the absentee voting process where the rules were changed in the  middle of the game, but also the number of people who voted by mail and  voted absentee. [["", Page , H6888, ]  I feel like the American people deserve one committee in this Chamber  to step up and hold a hearing and hear both sides. If I were Chairwoman  Maloney or Jamie Raskin or Gerry Connolly or Mr. Clay, or anybody on  the committee who hears this request, if I believed there weren't any  irregularities, I would want to have a hearing to make the Republicans  look bad. I am disappointed that we are not doing our job in the  Committee on Oversight and Reform.  But with the specific investigation that Republicans have done in  California, without any help from the Democrats--we don't need their  help. We don't need their help on this. We have already proven it. The  comptroller in California knows it. We are now asking to send the money  back.  If you are not going to explain, Secretary Padilla, if you don't want  to talk about it, that is fine. Send the money back, and taxpayers will  move on.  Mr. Speaker, I yield back the balance of my time.    "
100,Michael Conaway,0.2689608931541443,R,conaway,conaway," Mr. CONAWAY. Mr. Speaker, I thank my colleague from Colorado (Mr.  Lamborn) for those overly kind words, and I certainly appreciate his  sentiments for my service. And I, too, will miss our Armed Services  Committee hearings and sitting beside him. He is a terrific God-fearing  man, and I am better for having known him in that regard.  Mr. Speaker, I was blessed to be raised in a God-fearing Christian  family. Not everybody gets that blessing, but I did. I have never not  known about the Bible or Christ or God throughout my entire life.  My mother believed in being at church every single Sunday morning,  regardless of the consequences or whatever else was going on.  At the age of nine, I accepted Jesus Christ as my personal savior.  And you can become a Christian with knowing a limited amount of the  Bible, but I don't believe you can lead a good Christian life without  studying the Bible, without understanding God's truths that are  contained therein and the instruction that that gives us as to how to  conduct our lives.  Mr. Speaker, Second Timothy 3:16 has already been quoted, but I will  quote it again. It says:  All Scripture is breathed out by God, the Word of God, and   profitable for teaching, for reproof, for correction, and for   training in righteousness, that the man of God may be   competent, equipped for every good work.  Mr. Speaker, this Nation is at a crossroads, and we are a divided  Nation across a lot of lines, the partisan divides we fight in this  House day in and day out. There are other moral lines of which our  Nation is divided across. The Bible is important because it is that one  place where the truths never change.  Customs come and go, ideologies come and go, but the truths of God  don't. So if we are to heed the instructions of our Founding Fathers,  that John Adams said, as was mentioned, that are a moral and religious  people, then we need a guidebook. We need an understanding of what  those morals are based upon. If the morals are based upon what I think  are correct or you think are correct, then that is a pretty flimsy  stance to take. We need a foundational truth that is there regardless  of who is Speaker, regardless of who is President. God is always on  that throne, and so, the Bible is obviously important for that regard.  Mr. Speaker, there is a verse in Second Chronicles that I think  contains both a promise for our Nation and a solution for our Nation.  The backdrop on that was that the Nation of Israel, God's chosen  people, if you read through the Old Testament, they had a running  narrative of where their hearts would be good, right with God, things  would be going well, and then within a generation or two they would  fall off, their hearts would get wrong with God, they would be doing  things that would offend God and their mighty ways, and God would use  awful, horrible things to reset that narrative, reset the Nation of  Israel's hearts, so that they could, in fact, be his chosen people.  That tool is still in God's toolbox. I believe the United States is a  Nation of God's chosen people. If you look at what our Nation has done  over the last 100 years, I would argue that no Nation on Earth has ever  done as much good as we have done for the rest of the world and asks so  little in return as this Nation.  Mr. Speaker, I believe that is God's divine mission for us as a  people. But do we continue to be worthy of that mission?  And I would argue that as God looks at this unblessable thing that is  going [["", Page , H7101, ] on in our Nation that we may be rapidly becoming unworthy of that  mission. And if we lay that mantle down, if it is taken away from us,  Mr. Speaker, who will pick it up?  Russia, China, radical Islam?  I don't believe so.  I believe it is important not only for America to continue to be that  God-fearing Nation but also important for the rest of the world.  That verse in Second Chronicles 7:14 says:  If my people, who are called by my name love themselves,   turn from their wicked ways, seek my face and pray, then I   will hear them in Heaven. I will forgive their sins, and I   will heal their land.  Our land needs healing. That is God's promise. It is written in  stone. God doesn't change any of his promises. And that promise is  available to us as a Nation. That is the promise.  The solution, however, lies with us. We must be that people who will  turn from our wicked ways, seek God's face, pray, and then he will hear  us from Heaven, he will heal our land, and forgive our sins.  Mr. Speaker, our land needs healing, probably more so than at any  time since the Civil War. We are a divided Nation, and only God's  guidance and God's divine intervention, I believe, can make that  happen. We have to be, however, God's instruments to make that happen.  The Bible is important to me. It is important to our Nation. It is  important for the ongoing safety of this world. God bless each and  every one of you. God bless Texas. And God bless the United States of  America.    "
101,Gerald Connolly,2.925051689147949,D,connolly,connolly," Mr. CONNOLLY. Mr. Speaker, I would just simply close by reminding  everybody that bad planning exacerbated greatly the severity and  duration of this pandemic. And if we have learned anything, we have  learned that we need to plan, we need to have a plan, and that is  certainly true with our Federal agencies.  I believe this bill is a commonsense bill that will add to our  capability to respond quickly in the event of a resurgence of the  coronavirus, and I urge its passage.  Mr. Speaker, I yield back the balance of my time.  The SPEAKER pro tempore (Mr. Heck). The question is on the motion  offered by the gentleman from Virginia (Mr. Connolly) that the House  suspend the rules and pass the bill, ', H.R. 7496, ', as amended.  The question was taken; and (two-thirds being in the affirmative) the  rules were suspended and the bill, as amended, was passed.  A motion to reconsider was laid on the table.    "
102,Paul Cook,0.44789937138557434,R,cook,cook," Mr. COOK. Madam Speaker, due to COVID-19 concerns, I was not able to  be present on the House Floor to vote on Senate Amendment to ', H.R. 266, ""-- the Paycheck Protection Program and Health Care Enhancement Act. If I  had been present, I would have voted in favor of this legislation.  PERSONAL EXPLANATION    "
103,Jim Cooper,0.03976054489612579,D,cooper,cooper," Ms. COOPER. Russia.  Mr. Manager SCHIFF. Russia was not only emboldened on the  battlefield. Ambassador Taylor testified that President Trump's corrupt  withholding of military assistance and his failure to host President  Zelensky in the Oval Office was a ``sign of weakness'' to Moscow. It  harmed Ukraine's negotiating position, even as recently as December 9  when Zelensky and Putin met to discuss the conflict in the east shown  in this photo.  Ambassador Taylor explained:  (Text of Videotape presentation:)  The CHAIRMAN. I think you also testified that Russia was   watching closely to gauge the level of American support for   the Ukrainian government. Why is that significant?  Ambassador TAYLOR. This is significant, Mr. Chairman,   because the Ukrainians, in particular under this new   administration, are eager to end this war, and they were   eager to end it in a way that the Russians leave their   territory. These negotiations, like all negotiations, are   difficult. Ukrainians would like to be able to negotiate from   a position of strength or at least more strength than they   now have. Part of that strength, part of the ability of the   Ukrainians to negotiate against the Russians with the   Russians for an end to the war in Donbas, depends on United   States and other international support. If we withdraw or   suspend or threaten to withdraw our security assistance,   that's a message to the Ukrainians, but it's at least as   important, as your question indicates, Mr. Chairman, to the   Russians, who are looking for any sign of [["", <a href=""/congressional-record/volume-166/senate-section/page/S540"">Page S540</a>, ]  weakness or any sign that we are withdrawing our support for   Ukraine.  The CHAIRMAN. And so, when the Ukrainians learned of the   suspension of the military aid, either privately or when   others learned publicly, the Russians would be learning also,   and they would take that as a lack of robust U.S. support for   Ukraine. Is that right?  Ambassador TAYLOR. That's correct, sir.  The CHAIRMAN. And that would weaken Ukraine in negotiating   an end to the war in Donbas.  Ambassador TAYLOR. It would.  Mr. Manager SCHIFF. Indeed, the aid doesn't just supply much needed  weapons to Ukraine. It is a symbol of support, a signal of strength, a  signal of the backing of the United States. Withholding that aid, even  for a period of time, undermined all of those things.  President Trump's actions toward Ukraine also undercut worldwide  confidence in the United States as a reliable security partner.  Maintaining that confidence is crucial to the strength of our alliances  in Europe to deterring Russia and ultimately protecting and projecting  democracy around the world.  The United States has roughly 68,000 troops stationed in Europe. They  serve alongside troops from 28 other countries that comprise the North  Atlantic Treaty Organization, or NATO. They are holding the line  against further Russian aggression. It was U.S. leadership that led to  the creation of NATO 70 years ago as the Iron Curtain was descending  across the heart of Europe, and it is American leadership that makes  NATO work today.  NATO is also affected because other countries, friends and foes  alike, know that we are committed to our collective defense; that an  attack against one nation is an attack against all of us. That  principle deterred a Russian invasion of Europe during the Cold War. It  has only been invoked once by NATO in the aftermath of the September 11  terrorist attacks. New York is a long way from the frontlines with  Russia, but our European allies stood with us after that dark day.  They deployed tens of thousands of troops to Afghanistan and joined  us in fighting the al-Qaida terrorists who attacked the Twin Towers and  the Pentagon.  Now, Ukraine is not a member of NATO, but Russia's invasion of  Ukraine was a threat to the peace and security of Europe. Moscow's  aggression threatened the rules of the road that have kept the peace in  Europe since World War II, the sacrosanct idea that borders cannot be  changed by military force.  If we had not supported Ukraine in 2014, if Members of this body had  not voted overwhelmingly on a bipartisan basis for military assistance  to rebuild Ukraine's military, there is no question it would have  invited further Russian adventurism in Ukraine and perhaps elsewhere in  the heart of Europe. It would have weakened our allies and exposed U.S.  troops stationed in Europe to greater danger.  Deterring Russia requires persistence--not just one military aid  package or one Oval Office meeting but a sustained policy of support  for our partners. We only deter Russia by consistently demonstrating  support for our friends--friends like Ukraine.  George Shultz, who served as Ronald Reagan's Secretary of State,  understood this. He compared diplomacy and alliance management to  gardening. He said:  If you plant a garden and go away for six months, what have   you got when you come back? Weeds. Diplomacy is kind of like   that. You go around, talk to people, you develop a   relationship of trust and confidence, and then if something   comes up, you have that base to work from.  President Trump's decision to transform the military aid and Oval  Office meeting into leverage was the equivalent of trampling all over  George Shultz's garden, crushing Ukraine's confidence in the United  States as a partner. He also caused our NATO allies to question whether  we would stand with them against Russia. Leaders in European capitals  now wonder whether personal political favors and not treaty obligations  guide our foreign policy.  Colleagues, this is how alliances wither and die and how Russia wins.  Ambassador Taylor made clear that is why it is so important to our  security that we stand with Ukraine.  (Text of Videotape presentation:)  Ambassador TAYLOR. Mr. Chairman, as my colleague, Deputy   Assistant Secretary George Kent, described, we have a   national security policy, a national defense policy that   identifies Russia and China as adversaries. The Russians are   violating all of the rules, treaties, understandings that   they committed to that actually kept the peace in Europe for   nearly 70 years. Until they invaded Ukraine in 2014, they had   abided by sovereignty of nations, of inviolability of   borders. That rule of law, that order that kept the peace in   Europe and allowed for prosperity as well as peace in Europe   was violated by the Russians. And if we don't push back on   that, on those violations, then that will continue. And that,   Mr. Chairman, affects us. It affects the world that we live   in, that our children will grow up in, and our grandchildren.   This affects the kind of world that we want to see abroad. So   that affects our national interest very directly. Ukraine is   on the front line of that conflict.  We understood that in 2017, the first year of the Trump  administration, and it appeared the Trump administration understood it  as well. We understood it in 2018, and the Trump administration  understood that as well. We understood that in 2019, and the Trump  administration appeared to as well--at least it did until it didn't. It  did until something of greater importance and significance came along.  That event of greater significance to the Oval Office was the emergence  of Joe Biden as a candidate for President, and then that military  support, which had increased during the Trump administration, was  suddenly put on hold for inexplicable reasons.  Ukraine got the message. It wasn't very inexplicable to Ukraine. What  is more, Russia got the message. It wasn't very inexplicable to Russia,  which had pushed out the whole propaganda theory that it was Ukraine  that had interfered in our election and not Russia.  So that consensus among the Congress and the administration, among  the right and the left and the center, that, as Ambassador Taylor  explained, this is not only vital to Ukraine's security and the post- World War II order that has kept the peace in Europe for 70 years, but  it is vital to us and our security as well, that all broke down. That  all broke down over an effort led by the President and his agent Rudy  Giuliani and his agents Parnas and Fruman to overturn all of that-- overturn a decades-long commitment to standing up to Russian  aggression.  We have so tremendously benefited. No country has benefited more from  the international rules of the road, the international order, than the  United States. It gave us the peace and stability to prosper like no  other nation has before, and we are throwing it away. We are throwing  it away. We are undermining the rule of law. We are undermining the  principle that you don't invade your neighbor. We are undermining the  key to our own success. And for what? For help with a political  campaign. To quote Bill Taylor, that is crazy. That is crazy.  If our allies can't trust us to stand behind them in a time of need,  we will soon not have a single ally left. I know it is painful to see  some of our allies and how they talk about this President because when  they talk about this President, they are also talking about the United  States. It is painful to see our allies distance themselves from the  United States. It is more than painful; it is dangerous. It is  dangerous to us. I think it was Churchill who once said there is  nothing worse than allies except having no allies.  If we are going to condition our support for our allies on their  willingness to be dragged kicking and screaming into our politics, if  we are going to condition the strength of our alliance on whether they  will help us cheat in an election, we are not going to have a single  ally left, and not a single one of us in this Chamber is ever going to  be able to say to one of our counterparts to respect the rule of law  without it being thrown in our face.  Promoting the rule of law and fighting corruption is central to our  foreign policy. It distinguishes U.S. global leadership from the  transactional approach favored by authoritarian adversaries.  The inherently corrupt nature of the President's demand that Ukraine  investigate his political opponent undermined the credibility of  efforts to promote the rule of law and combat corruption in Ukraine and  around the world. Indeed, the President engaging in the very conduct at  home that our policy fights abroad sabotages longstanding bipartisan  pillars of American diplomacy. [["", <a href=""/congressional-record/volume-166/senate-section/page/S541"">Page S541</a>, ]  This was a problem, not least because the pervasive corruption within  Ukraine leaves its politics and economy susceptible to Russian  influence and subterfuge.  Ambassador Yovanovitch emphasized that U.S. policy in Ukraine has  long recognized that the struggle against corruption and defending  against Russia are, in fact, two sides of the very same coin.  (Text of Videotape presentation:)  Ambassador YOVANOVITCH. Corruption makes Ukraine's leaders   ever vulnerable to Russia, and Ukraine people understand   that. That's why they launched the Revolution of Dignity in   2014, demanding to be a part of Europe, demanding   transformation of the system, demanding to live under the   rule of law.  Ukrainians wanted the law to apply equally to all people,   whether the individual in question is the President or any   other citizen. It was a question of fairness, of dignity.  Here, again, there is a coincidence of interests. Corrupt   leaders are inherently less trustworthy while an honest and   accountable Ukrainian leadership makes a U.S.-Ukrainian   partnership more reliable and more valuable to the United   States.  A level playing field in this strategically located   country, bordering four NATO allies, creates an environment   in which U.S. business can more easily trade, invest, and   profit.  Corruption is also a security issue, because corrupt   officials are vulnerable to Moscow.  Mr. Manager SCHIFF. During that conversation that we related in the  past, when Ambassador Volker urged his Ukrainian counterpart, Andriy  Yermak, not to investigate the past President of Ukraine and Yermak  threw it back in his face--you remember the conversation: Oh, you mean  like the investigation you want us to do of the Clintons and the  Bidens. They taught us something in that conversation. They taught us  that we had forgotten, for that moment, our own values.  Just listening to the Ambassador right now, I was thinking how  interesting it is that Ukrainians chose to describe their revolution as  a Revolution of Dignity. Maybe that is what we need here--a revolution  of dignity at home, a revolution of civility here at home. Maybe we can  learn a lot more from our Ukrainian ally.  In short, it is in America's national security interest to help  Ukraine transform into a country where the rule of law governs and  corruption is held in check.  As we heard yesterday, anti-corruption policy was a central part of  the talking points provided to President Trump before his phone calls  with President Zelensky on April 21 and July 25. President Trump, of  course, didn't mention corruption, but, importantly, those same foreign  policy goals remained intact following the call, as Tim Morrison  testified. Anti-corruption reforms--institutional reforms--remain a top  priority to help Ukraine fight corruption.  President Zelensky was swept into office on an anti-corruption  platform. Immediately, he kept his promise and introduced numerous  bills in Ukraine's Parliament. In a sign that he intended to hold  himself accountable, Zelensky even introduced a draft law on  Presidential impeachment. He also introduced a bill to restore  punishment of top officials found guilty of ``illicit enrichment.''  President Trump's self-serving scheme threatened to undermine  Zelensky's anti-corruption work. Zelensky's successful anti-corruption  reforms would have advanced U.S. security. Instead, President Trump's  demands undermined that effort to bring about reform to Ukraine.  Here is George Kent, a rule of law and corruption expert at the State  Department.  (Text of Videotape presentation:)    "
104,Jim Cooper,0.03976054489612579,D,cooper,cooper," Mr. COOPER. Mr. Speaker, I thank the gentleman for yielding.  I am pleased to support the fiscal year 2021 National Defense  Authorization Act. Thankfully, maintaining a tradition of  bipartisanship to get the 60th, a record, National Defense  Authorization Act through the House and then through conference with  the Senate is no small feat, particularly during a global pandemic.  I thank, in particular, our outstanding Chairman Smith and Ranking  Member Thornberry for their leadership, as well as Ranking Member Mike  Turner for his partnership in the Strategic Forces Subcommittee, and  all of the conferees for getting to this point.  In particular, I would like to thank Ranking Member Thornberry for  his extraordinary leadership on the HASC over the last 6 years, and I  am happy to congratulate my friend and colleague, Mike Rogers, as the  next HASC ranking member.  The Strategic Forces provisions in the bill would not have been in  place without the outstanding staff work of Leonor Tomero, Maria  Vastola, and Grant Schneider as the lead staffers.  These provisions support our nuclear forces and nuclear  nonproliferation. They also enhance oversight of the warhead  acquisition and plutonium pit production programs, which continue to be  major undertakings. [["", Page , H6924, ]  The conference report supports regional missile defense efforts,  restores funding to critical radar discrimination capabilities, and  provides needed oversight on the next generation of interceptors in  order to ensure fly-before-you-buy principles in this $10 billion  program.  The report acknowledges the increased focus on development and  delivery of conventional hypersonic weapons, while also initiating  efforts to address broad policy concerns regarding the risk of  miscalculation as these new strategic-level weapons are fielded.  With regard to the rapidly transforming space domain, the conference  report supports innovative commercial capabilities, competition, and  the emergence of small-launch providers to provide national security as  well as the codification of the Space Development Agency's mission.  Mr. Speaker, I urge a strong vote in favor of this conference report.    "
105,Lou Correa,1.2189539670944214,D,correa,correa," Mr. CORREA. Mr. Speaker, I thank the gentlewoman for leading. I thank  Chairman Nadler for his leadership in this issue and thank him, also,  for including my amendment that calls for a study of cannabis as an  alternative medicine for our veterans.  More than half of all Americans live in a State where cannabis is  legal. Let's align Federal cannabis laws with the will of the people.  And let's take full advantage of the medical benefits of cannabis. We  know that medical cannabis is good for treating things such as  seizures, glaucoma, chronic pain, and PTSD, and veterans prefer  cannabis over opioids.  Let me repeat. Veterans prefer cannabis over opioids to treat the  invisible wounds that they bring back from the battlefield.  Other nations, like Israel, export cannabis products. Let's unleash  America's free enterprise system to take full advantage of the  commercial benefits of cannabis.  Let's get busy and do the will of the people. Let's pass the MORE  Act. [["", Page , H6834, ]      "
106,Jim Costa,0.05964081361889839,D,costa,costa," Mr. COSTA. Mr. Speaker in honor of Hispanic Heritage Month, I  recognize a Latino leader who has been an inspiration and a role model  to thousands of students in my home of Fresno, the San Joaquin Valley,  and that is Dr. Joe Castro, president of Fresno State University, home  of the Bulldogs.  Yesterday, Dr. Castro was named the newest chancellor of California  State University system after spending 8 years at my alma mater at  Fresno State with great success. He is the first native of California  and the first person of color to head the California University system,  the largest in the entire Nation.  Raised in an immigrant household in Hanford, California, he is the  first in his family, like so many, to graduate from college. His story  is the story of the American immigrant.  He serves as a mentor and an inspiration to thousands of first- generation college students who have followed in his footsteps, folks  like members of my family. His leadership led to many accolades for  Fresno State in recent years as the university continues to be one of  the best colleges in the country.  A passionate and fierce advocate for students, his selection to lead  the largest public university system in the country is a testament to  his leadership and the respect he has throughout the Nation as one of  the leaders in higher education. He will leave behind a legacy that was  best expressed when he first came to Fresno State and he told the  student body: ``Be bold.'' ``Be bold.''  Congratulations, Joe and Mary, a real team, a Bulldog team, and  always Bulldog proud.    "
107,Joe Courtney,2.6632678508758545,D,courtney,courtney," Mr. COURTNEY. Mr. Speaker, I rise in support of this bill and salute  Mr. Takano and Mr. Roe for their fine work.  In particular, I want to foot stomp section 2011, which instructs GAO  to conduct an independent analysis of the VA's 1-year manifestation  rule, which has unfairly blocked benefits for three debilitating  conditions caused by Agent Orange dioxin used in the Vietnam war.  In a nutshell, veterans are required to show these illnesses  manifested themselves within 1 year of exposure in order to get VA  help. Only one problem: 50 years ago, when servicemembers were handling  this poison, the U.S. Government never disclosed how dangerous it was.  When its toxicity was finally recognized decades later, the 1-year  clock to prove manifestation had long expired. It is the ultimate  catch-22.  Section 2011 would not exist but for the tireless work of Vietnam  veteran Gerry Wright from Andover, Connecticut, who has crisscrossed  America rounding up support for abolishing this rule--no lobbyists, no  super-PACs, just old-fashioned citizen activism.  Mr. Speaker, I congratulate Gerry. He is a true patriot.  Mr. Speaker, I urge support of this bill.  Mr. DAVID P. ROE of Tennessee. Mr. Speaker, I reserve the balance of  my time.    "
